GeneID	GYAPG	GYAOY	GYAOZ	GYAPA	GYAPB	GYAPC	GYAPH	GYAPN	GYAPO	GYAPP	GYAPS	GYAPT
jgi.p|Debha1|1	402	1479	1639	1640	981	2238	296	163	175	1506	1771	901
jgi.p|Debha1|10	49	87	149	88	51	66	2194	594	613	82	101	51
jgi.p|Debha1|100	607	1696	1731	1490	691	1278	6182	1416	2570	1710	1852	790
jgi.p|Debha1|1000	47	59	101	48	31	63	273	98	106	94	107	59
jgi.p|Debha1|1001	261	353	788	310	196	422	903	224	416	608	617	282
jgi.p|Debha1|1002	2	6	11	10	5	5	8	3	3	6	9	3
jgi.p|Debha1|1003	250	241	626	224	137	219	2420	444	1176	394	490	203
jgi.p|Debha1|1004	326	1041	1305	1299	659	1519	1751	960	959	960	1121	514
jgi.p|Debha1|1005	14	73	55	64	39	42	144	58	67	41	58	14
jgi.p|Debha1|1006	58	152	180	142	89	176	646	152	237	204	152	73
jgi.p|Debha1|1007	72	190	229	180	104	168	345	129	161	170	141	70
jgi.p|Debha1|1008	289	348	587	431	283	358	993	335	442	578	598	284
jgi.p|Debha1|1009	34	58	97	71	39	67	435	125	160	87	95	44
jgi.p|Debha1|101	493	967	1652	1049	585	1204	4113	1441	2303	1567	1571	761
jgi.p|Debha1|1010	70	152	196	161	91	165	713	226	325	139	192	77
jgi.p|Debha1|1011	10	20	27	20	6	10	174	31	74	17	15	5
jgi.p|Debha1|1012	771	949	1900	894	684	885	822	376	443	1429	1547	558
jgi.p|Debha1|1013	582	804	1759	734	544	1102	1550	564	743	1180	1418	726
jgi.p|Debha1|1014	69	213	240	232	80	174	605	237	204	140	183	81
jgi.p|Debha1|1015	83	152	187	172	81	138	1042	255	479	178	139	84
jgi.p|Debha1|1016	62	150	174	175	111	85	88	45	27	114	129	49
jgi.p|Debha1|1017	2	7	1	7	2	7	1	1	1	2	1	0
jgi.p|Debha1|1018	2	3	5	4	10	4	7	4	2	10	13	4
jgi.p|Debha1|1019	411	1297	1464	1301	663	1465	784	318	450	1196	1314	549
jgi.p|Debha1|102	89	140	237	164	78	187	1481	383	573	290	291	138
jgi.p|Debha1|1020	324	310	723	320	193	397	1667	379	664	645	626	313
jgi.p|Debha1|1021	1620	2935	5174	3181	1760	3828	61885	19934	30930	4422	4506	2088
jgi.p|Debha1|1022	1801	9160	8237	9492	5898	12861	5640	3156	2363	5551	7254	3250
jgi.p|Debha1|1023	202	214	386	226	137	214	1383	251	620	332	356	169
jgi.p|Debha1|1024	95	247	269	226	138	220	924	240	385	339	331	150
jgi.p|Debha1|1025	237	536	714	540	279	678	503	175	277	474	596	316
jgi.p|Debha1|1026	3910	3492	10189	3653	2063	5291	6684	1524	2912	8589	8785	4290
jgi.p|Debha1|1027	755	1288	1926	1128	764	1629	3977	1698	2298	1842	1891	882
jgi.p|Debha1|1028	274	424	636	414	310	417	311	84	152	644	641	309
jgi.p|Debha1|1029	147	176	375	185	124	161	504	172	243	277	279	126
jgi.p|Debha1|103	894	1083	2103	1078	766	1046	1500	453	698	1471	1700	767
jgi.p|Debha1|1030	161	264	432	253	215	271	386	167	233	398	366	190
jgi.p|Debha1|1031	29	134	168	131	77	152	450	247	210	188	175	69
jgi.p|Debha1|1032	177	125	316	126	83	180	2602	517	1057	264	269	130
jgi.p|Debha1|1033	57	69	174	115	44	94	955	225	387	199	180	68
jgi.p|Debha1|1034	537	848	1564	1123	694	1017	2596	672	1161	1352	1285	690
jgi.p|Debha1|1035	85	169	215	140	111	183	653	195	299	240	222	85
jgi.p|Debha1|1036	417	995	1023	1057	703	1243	2946	1108	1304	1017	991	517
jgi.p|Debha1|1037	39	48	124	85	30	35	80	21	54	58	40	16
jgi.p|Debha1|1038	22	41	89	42	18	41	326	83	123	78	74	44
jgi.p|Debha1|1039	45	81	110	74	41	76	405	113	149	107	119	32
jgi.p|Debha1|104	41	132	147	124	72	130	333	59	124	145	125	44
jgi.p|Debha1|1040	660	1189	1790	1157	701	786	1961	597	734	1373	1364	609
jgi.p|Debha1|1041	5692	4879	13205	5287	3116	6525	11636	2419	5028	12044	12233	6017
jgi.p|Debha1|1042	34	129	124	113	49	82	308	104	134	81	98	54
jgi.p|Debha1|1043	249	382	558	493	207	315	963	197	447	407	362	216
jgi.p|Debha1|1044	134	356	361	346	92	158	663	108	256	217	193	76
jgi.p|Debha1|1045	157	371	447	378	210	472	666	145	281	866	711	328
jgi.p|Debha1|1046	20	36	76	50	23	60	35	19	21	101	102	55
jgi.p|Debha1|1047	29	65	107	58	25	55	38	13	23	120	127	44
jgi.p|Debha1|1048	218	421	459	438	161	289	1845	409	787	313	290	159
jgi.p|Debha1|1049	154	332	430	337	255	285	764	443	308	366	428	209
jgi.p|Debha1|105	7023	16587	25819	16513	10262	18075	8292	3339	3651	14347	18175	8223
jgi.p|Debha1|1050	9	27	32	50	16	23	56	19	25	29	30	13
jgi.p|Debha1|1051	18	25	36	37	20	33	210	68	69	25	35	16
jgi.p|Debha1|1052	186	275	393	320	139	212	1166	300	395	263	322	135
jgi.p|Debha1|1053	402	365	822	298	194	494	2729	561	1205	891	1010	459
jgi.p|Debha1|1054	435	1135	1524	927	749	1438	1294	573	701	1672	1697	694
jgi.p|Debha1|1055	14965	19764	43558	22633	13991	29917	26614	7460	11997	29812	35240	16442
jgi.p|Debha1|1056	261	406	741	363	215	430	2056	482	853	584	620	322
jgi.p|Debha1|1057	5158	6499	15275	6384	3764	6491	12843	2222	4828	14139	14554	7708
jgi.p|Debha1|1058	12	247	82	225	69	97	7	18	12	20	23	14
jgi.p|Debha1|1059	21	115	108	83	65	141	384	156	197	114	117	54
jgi.p|Debha1|106	263	551	818	590	368	760	3030	822	1242	632	636	353
jgi.p|Debha1|1060	959	5715	3436	5388	3118	5335	1124	1022	818	2502	2807	1189
jgi.p|Debha1|1061	66	146	164	157	87	114	817	163	289	105	142	79
jgi.p|Debha1|1062	219	347	455	389	226	320	1144	300	489	344	331	131
jgi.p|Debha1|1063	167	259	539	343	200	553	639	278	275	395	478	197
jgi.p|Debha1|1064	47	163	193	174	92	130	846	367	308	113	147	69
jgi.p|Debha1|1065	156	538	386	499	193	207	450	261	207	238	177	103
jgi.p|Debha1|1066	512	366	1264	422	288	572	2157	389	733	1215	1197	606
jgi.p|Debha1|1067	184	364	553	466	299	347	1742	379	571	345	417	200
jgi.p|Debha1|1068	32	37	77	52	33	61	208	78	60	90	83	27
jgi.p|Debha1|1069	1322	3077	4307	3345	2457	3388	1180	663	690	3683	3809	1495
jgi.p|Debha1|107	1088	2349	3887	2734	1757	3528	4530	2614	2601	2832	3066	1478
jgi.p|Debha1|1070	1713	2802	4986	3097	1771	2970	7333	2512	3729	4141	4268	1993
jgi.p|Debha1|1071	101	129	260	167	77	135	840	168	326	286	276	132
jgi.p|Debha1|1072	357	1117	1420	1172	604	1403	528	148	255	1264	1351	520
jgi.p|Debha1|1073	264	457	717	484	277	574	5419	1260	1979	775	741	348
jgi.p|Debha1|1074	106	480	386	432	265	506	2311	1107	1202	477	466	204
