GeneID	GYAPU	GYAPW	GYAPX	GYAPY	GYAPZ	GYASA	GYOYB	GYOYC	GYASG	GYOYG	GYASN	GYASO
jgi.p|Debsub1|100862	2494	1145	2490	1725	1780	1921	31	73	72	697	1315	471
jgi.p|Debsub1|100864	563	272	447	361	375	511	7	17	7	203	360	82
jgi.p|Debsub1|100868	619	290	410	381	380	380	17	14	14	152	368	126
jgi.p|Debsub1|100873	1477	754	1464	927	1082	1234	41	68	75	388	864	236
jgi.p|Debsub1|100875	585	281	541	348	369	421	15	32	69	504	1156	871
jgi.p|Debsub1|100969	277	164	349	296	276	381	22	58	98	82	226	132
jgi.p|Debsub1|100970	674	359	906	427	465	570	130	105	180	303	674	620
jgi.p|Debsub1|100975	827	424	761	534	588	771	27	26	68	287	707	200
jgi.p|Debsub1|100992	659	319	720	695	638	809	52	61	78	254	610	308
jgi.p|Debsub1|101021	2500	1193	3276	1970	2160	2558	181	375	308	1693	2784	1856
jgi.p|Debsub1|101038	1840	915	1712	1372	1661	1971	62	71	116	865	1773	515
jgi.p|Debsub1|101141	797	403	1109	789	907	1059	78	239	170	2407	3122	3912
jgi.p|Debsub1|101142	1226	625	1471	782	932	1229	140	165	363	636	1087	822
jgi.p|Debsub1|101144	5814	3285	4775	3418	4153	5279	244	199	418	2110	5842	2617
jgi.p|Debsub1|101191	992	493	834	541	598	741	42	40	91	450	1019	304
jgi.p|Debsub1|101242	444	215	555	342	455	466	51	100	102	249	459	411
jgi.p|Debsub1|101247	4112	2170	4071	2550	2972	3995	1226	575	1705	1330	2931	2062
jgi.p|Debsub1|101282	797	392	672	416	539	707	18	35	12	303	594	87
jgi.p|Debsub1|101284	727	302	951	620	602	819	57	88	100	407	734	442
jgi.p|Debsub1|101285	1706	832	1557	987	1126	1597	30	65	117	766	1850	547
jgi.p|Debsub1|101287	1316	763	941	939	985	1136	24	37	49	324	1080	254
jgi.p|Debsub1|101290	647	285	247	212	238	376	8	17	32	146	295	99
jgi.p|Debsub1|101294	5643	2941	7461	4660	5387	6099	807	1072	1389	2713	5498	4922
jgi.p|Debsub1|101296	423	175	145	128	131	179	11	17	24	50	147	20
jgi.p|Debsub1|101304	1769	893	1524	1111	1337	2278	37	44	98	928	1593	477
jgi.p|Debsub1|101363	401	232	277	217	279	387	11	25	18	117	346	127
jgi.p|Debsub1|101364	564	278	173	125	167	202	18	12	32	95	224	40
jgi.p|Debsub1|101405	5545	2615	5983	3801	3717	4584	275	442	485	2510	4921	2675
jgi.p|Debsub1|101470	625	273	745	389	487	565	700	266	937	303	538	745
jgi.p|Debsub1|101472	407	207	232	258	285	289	27	14	22	83	290	56
jgi.p|Debsub1|101475	1100	522	1611	1116	1082	1225	108	157	198	466	1089	757
jgi.p|Debsub1|101481	416	195	553	366	461	505	70	187	185	293	637	272
jgi.p|Debsub1|101482	341	131	170	137	177	322	8	22	32	160	339	57
jgi.p|Debsub1|101544	3284	1691	2664	2109	2295	2194	50	94	96	959	1946	675
jgi.p|Debsub1|101685	855	429	656	484	520	680	11	21	41	304	686	200
jgi.p|Debsub1|101876	3607	1781	4815	3051	2948	3777	418	412	743	1198	2927	2400
jgi.p|Debsub1|101903	1309	655	1927	1098	1210	1313	666	768	951	677	1175	1531
jgi.p|Debsub1|101958	534	244	682	333	337	570	398	414	711	256	480	329
