GeneID	GYATH	GYATN	GYATO	GYATP	GYATS	GYATT	GYOYH	GYATW	GYATX	GYATY	GYATZ	GYAUA
jgi.p|YarlipO1F2|10035	38	47	59	13	38	16	7	2	8	22	80	36
jgi.p|YarlipO1F2|10044	50	65	116	4	19	6	0	0	0	3	10	6
jgi.p|YarlipO1F2|100462	681	312	613	374	568	217	406	252	292	320	815	433
jgi.p|YarlipO1F2|100727	19	3	21	93	16	21	96	274	280	43	78	42
jgi.p|YarlipO1F2|100742	360	86	318	621	260	234	383	2711	1740	433	1030	621
jgi.p|YarlipO1F2|100755	1139	534	1430	1783	890	651	503	396	449	808	1393	779
jgi.p|YarlipO1F2|101029	313	117	333	305	224	160	389	543	528	193	477	284
jgi.p|YarlipO1F2|101175	292	104	290	149	174	102	147	64	57	57	109	76
jgi.p|YarlipO1F2|101246	15	11	17	4	6	0	0	0	0	3	6	3
jgi.p|YarlipO1F2|101337	3922	1987	4565	2731	3412	1351	1300	2663	2254	1360	3435	2036
jgi.p|YarlipO1F2|101793	163	54	141	240	139	111	180	178	283	145	324	177
jgi.p|YarlipO1F2|101802	49	35	52	31	42	11	23	83	85	22	92	54
jgi.p|YarlipO1F2|101834	33	8	30	28	22	12	14	6	4	16	44	23
jgi.p|YarlipO1F2|10219	6	7	1	2	6	2	1	0	1	0	1	0
jgi.p|YarlipO1F2|102250	629	304	737	589	503	283	379	314	316	418	978	523
jgi.p|YarlipO1F2|102328	50	7	40	87	50	45	40	6	15	54	88	62
jgi.p|YarlipO1F2|102351	186	58	212	275	232	132	210	331	411	200	431	250
jgi.p|YarlipO1F2|102362	1520	1594	2427	371	688	195	328	255	322	207	475	320
jgi.p|YarlipO1F2|102429	183	101	216	77	125	52	135	137	160	49	92	52
jgi.p|YarlipO1F2|102437	463	163	470	445	483	219	643	584	689	323	596	358
jgi.p|YarlipO1F2|102516	83	16	57	46	61	44	97	128	140	37	91	58
jgi.p|YarlipO1F2|10256	2207	398	1670	4088	1891	1926	1292	422	641	1777	3416	2346
jgi.p|YarlipO1F2|10282	820	361	1065	660	721	404	219	94	190	376	919	522
jgi.p|YarlipO1F2|10340	5000	2175	5148	4706	4007	2373	2599	5425	5893	2531	5794	3642
jgi.p|YarlipO1F2|10380	1655	933	2077	1418	1311	597	1247	2267	1990	860	1824	1072
jgi.p|YarlipO1F2|104168	569	167	476	635	553	311	253	130	235	401	988	535
jgi.p|YarlipO1F2|104284	1651	415	1456	1616	1898	1029	2594	3305	3196	915	1523	740
jgi.p|YarlipO1F2|104290	6809	2105	6149	8650	6209	4611	8128	8241	10382	5283	10657	6338
jgi.p|YarlipO1F2|10438	9795	4842	11263	3496	7644	2643	1601	1181	1050	1500	4017	2490
jgi.p|YarlipO1F2|104670	3248	816	2861	4007	3488	1918	3465	4423	6089	2479	7456	4054
jgi.p|YarlipO1F2|104674	279	329	511	125	191	74	116	139	153	93	465	254
jgi.p|YarlipO1F2|104718	2194	441	1918	3067	2080	1532	2109	4044	4678	1656	4284	2807
jgi.p|YarlipO1F2|104861	19	10	33	54	26	25	125	55	80	29	69	52
jgi.p|YarlipO1F2|105349	43	12	28	25	18	28	7	6	11	37	122	82
jgi.p|YarlipO1F2|105354	1245	534	1163	940	1010	570	916	1602	1615	858	3129	1964
jgi.p|YarlipO1F2|10561	1653	433	1139	1533	1249	971	1194	338	649	814	1860	1215
jgi.p|YarlipO1F2|105623	4026	1615	3854	2090	3587	1319	2089	5675	5791	1526	3708	2260
jgi.p|YarlipO1F2|105642	45	49	50	17	24	10	39	54	79	8	17	10
jgi.p|YarlipO1F2|105832	41	30	76	133	32	49	36	5	7	89	119	54
jgi.p|YarlipO1F2|105833	42	19	25	56	29	17	33	87	106	30	62	27
jgi.p|YarlipO1F2|105840	229	21	134	455	263	163	1287	5762	4336	217	485	428
jgi.p|YarlipO1F2|105856	1279	429	1428	1081	1355	627	1375	1764	2275	566	1267	794
jgi.p|YarlipO1F2|105923	341	167	320	206	237	126	778	807	718	161	445	263
jgi.p|YarlipO1F2|105967	518	114	402	1423	583	453	1490	14217	8141	1106	2705	1840
jgi.p|YarlipO1F2|106119	724	84	357	1519	612	749	832	440	568	704	1187	802
jgi.p|YarlipO1F2|106294	4878	2524	5440	2617	4342	1717	1383	753	1049	1361	3489	2145
jgi.p|YarlipO1F2|106461	1855	259	1204	6701	2433	2681	3538	3916	4938	2175	3560	2156
jgi.p|YarlipO1F2|106488	1020	426	1010	1606	1005	745	1658	2448	2195	887	1897	1066
jgi.p|YarlipO1F2|10649	2448	1544	2687	2001	2209	1171	1543	3920	4137	2238	9293	6028
jgi.p|YarlipO1F2|106553	3	11	5	6	2	3	1	10	3	1	5	2
jgi.p|YarlipO1F2|106576	674	301	758	481	708	320	529	671	806	352	829	513
jgi.p|YarlipO1F2|106627	2174	1081	2372	1566	2017	985	1065	6850	5270	1355	3844	2175
jgi.p|YarlipO1F2|106639	270	140	254	14	231	38	6	8	5	8	25	11
jgi.p|YarlipO1F2|106640	138	47	129	43	90	40	3	4	1	13	20	12
jgi.p|YarlipO1F2|106804	1326	360	1089	867	1115	498	1288	1475	1459	416	911	544
jgi.p|YarlipO1F2|107004	205	34	101	1207	477	463	2161	1033	1836	660	1475	889
jgi.p|YarlipO1F2|107016	2	0	0	4	0	0	2	10	13	1	2	1
jgi.p|YarlipO1F2|107026	0	0	0	4	0	0	2	0	1	0	0	1
jgi.p|YarlipO1F2|107055	340	126	337	213	287	151	277	253	290	146	377	253
jgi.p|YarlipO1F2|107057	100	42	102	141	95	70	137	112	96	102	195	94
jgi.p|YarlipO1F2|107197	155	66	217	105	149	61	20	19	26	88	286	137
jgi.p|YarlipO1F2|107204	1295	789	1405	638	1031	362	652	2130	1611	545	1918	1119
jgi.p|YarlipO1F2|10722	3723	1694	3734	3474	3430	1955	2864	2073	3494	2454	5739	3625
jgi.p|YarlipO1F2|107277	312	98	246	252	201	192	182	151	205	136	264	173
jgi.p|YarlipO1F2|107456	538	154	549	527	461	281	591	294	383	373	765	455
jgi.p|YarlipO1F2|107541	2	0	0	0	2	0	0	1	0	0	0	0
jgi.p|YarlipO1F2|107562	231	75	168	279	217	152	260	122	194	229	483	298
jgi.p|YarlipO1F2|107648	15	5	8	28	38	12	63	57	76	11	24	23
jgi.p|YarlipO1F2|107650	495	145	418	415	464	258	438	620	850	335	959	594
jgi.p|YarlipO1F2|107665	1222	531	1330	942	1177	593	1043	3088	2085	451	977	672
jgi.p|YarlipO1F2|107813	925	255	706	933	638	439	332	296	244	433	1048	722
jgi.p|YarlipO1F2|107860	197	37	168	583	197	243	236	250	329	212	383	271
jgi.p|YarlipO1F2|107964	3527	495	2318	4118	2851	2358	2431	926	1319	1459	3118	1982
jgi.p|YarlipO1F2|10799	110	32	113	14	21	11	14	0	5	8	8	12
jgi.p|YarlipO1F2|108091	1227	460	1231	2073	1038	732	361	309	317	1270	4453	2734
jgi.p|YarlipO1F2|10810	93	35	90	431	116	109	358	1687	1857	382	936	571
jgi.p|YarlipO1F2|108155	13614	7361	15317	3726	11322	3206	6193	5476	6673	1877	5252	2685
jgi.p|YarlipO1F2|108164	187	91	205	217	217	99	350	113	169	209	550	348
jgi.p|YarlipO1F2|108202	2074	1364	2652	858	1899	562	1133	527	868	608	1741	898
jgi.p|YarlipO1F2|108215	430	159	395	383	539	214	686	483	571	318	740	424
jgi.p|YarlipO1F2|108328	860	494	1089	791	592	394	423	276	365	425	952	561
jgi.p|YarlipO1F2|108336	192	158	317	15	153	21	87	5652	884	5	12	5
jgi.p|YarlipO1F2|108413	18	6	16	2	5	2	2	2	2	2	5	0
jgi.p|YarlipO1F2|10849	276	90	227	483	283	208	530	1314	1278	321	818	456
jgi.p|YarlipO1F2|108493	7	8	21	3	6	0	0	0	0	3	6	7
jgi.p|YarlipO1F2|108658	6195	1106	4591	6673	8186	3534	16869	3124	5922	2790	5433	3534
jgi.p|YarlipO1F2|108737	1072	171	777	1209	1118	635	767	5867	4190	757	2324	1772
jgi.p|YarlipO1F2|108781	49	8	35	240	127	108	742	1016	1264	111	295	204
jgi.p|YarlipO1F2|108803	4145	1705	4055	2896	3440	1750	2608	7538	7109	1519	3738	2316
jgi.p|YarlipO1F2|108928	1620	420	1466	1292	1623	776	1573	1551	1621	731	1387	784
jgi.p|YarlipO1F2|10899	200	54	193	148	209	98	588	813	680	114	227	177
jgi.p|YarlipO1F2|109020	128	101	165	34	42	18	3	12	17	18	19	26
jgi.p|YarlipO1F2|109055	2	0	0	3	2	0	0	1	1	0	2	1
jgi.p|YarlipO1F2|109310	1315	512	1381	1352	1157	704	858	452	636	964	2154	1308
jgi.p|YarlipO1F2|109327	258	114	305	225	203	133	205	542	643	172	509	275
jgi.p|YarlipO1F2|109461	705	291	794	969	627	366	676	1627	1889	619	1575	966
jgi.p|YarlipO1F2|109742	16	1	14	15	17	8	18	9	10	5	25	11
jgi.p|YarlipO1F2|109747	630	53	276	2712	457	1041	1405	4521	4523	1846	4348	3188
jgi.p|YarlipO1F2|109778	161	19	122	234	87	125	35	118	75	78	99	55
jgi.p|YarlipO1F2|109841	56	14	31	52	45	21	41	14	33	45	90	44
jgi.p|YarlipO1F2|109861	3588	545	2736	5393	3688	3205	8376	13197	12439	3459	10522	10792
jgi.p|YarlipO1F2|110120	519	209	489	220	339	165	145	143	195	153	515	253
jgi.p|YarlipO1F2|110122	21	5	14	20	10	8	4	0	0	0	0	0
jgi.p|YarlipO1F2|110195	855	128	777	776	594	388	743	861	1412	580	1054	500
jgi.p|YarlipO1F2|111056	2	0	1	3	2	0	0	1	1	0	2	2
jgi.p|YarlipO1F2|111122	120	107	185	56	95	31	78	135	158	37	116	75
jgi.p|YarlipO1F2|111177	3357	2946	5380	2111	3325	1173	2710	3073	4318	1143	3111	1877
jgi.p|YarlipO1F2|111206	3	2	7	8	5	6	4	1	0	1	0	2
jgi.p|YarlipO1F2|111339	222	100	254	320	175	124	270	207	214	205	379	240
jgi.p|YarlipO1F2|111349	948	280	937	1028	1049	553	823	1703	2206	1036	3397	1898
jgi.p|YarlipO1F2|111350	989	207	858	1626	890	645	497	1500	1077	1235	3010	1813
jgi.p|YarlipO1F2|111375	967	317	977	1076	825	519	976	377	580	648	1346	925
jgi.p|YarlipO1F2|111461	3340	651	2667	4082	3236	2017	2585	3694	3836	2403	5507	3397
jgi.p|YarlipO1F2|111499	1692	539	1573	1562	1646	825	1338	2095	2156	887	2198	1428
jgi.p|YarlipO1F2|111582	131	39	89	268	108	104	194	210	322	210	561	306
jgi.p|YarlipO1F2|11164	51	36	42	22	34	18	11	7	0	10	34	16
jgi.p|YarlipO1F2|111672	916	599	1018	171	495	159	18	4	5	52	77	48
jgi.p|YarlipO1F2|111673	1133	192	820	1203	912	682	612	28	67	570	923	601
jgi.p|YarlipO1F2|111820	869	534	1055	610	719	283	618	543	774	394	923	599
jgi.p|YarlipO1F2|111822	667	224	623	654	701	331	833	4624	3235	551	1581	938
jgi.p|YarlipO1F2|111834	13	10	21	10	3	5	62	134	150	2	8	5
jgi.p|YarlipO1F2|111836	329	58	264	387	333	202	381	1161	896	238	480	373
jgi.p|YarlipO1F2|111837	136	41	156	153	147	85	114	63	100	85	225	138
jgi.p|YarlipO1F2|111843	122	85	163	52	56	32	36	13	13	77	113	62
jgi.p|YarlipO1F2|111859	578	257	683	426	394	219	289	1250	1113	374	864	444
jgi.p|YarlipO1F2|111865	905	379	1096	1656	761	618	491	1009	1167	868	2255	1345
jgi.p|YarlipO1F2|11191	2114	797	2194	2226	2328	1214	2126	2212	2815	1180	2715	1651
jgi.p|YarlipO1F2|11196	9	4	5	6	4	5	1	6	6	4	10	6
jgi.p|YarlipO1F2|112075	5572	2778	5612	813	3701	825	551	126	118	235	554	384
jgi.p|YarlipO1F2|112134	200	77	196	246	205	119	311	254	253	198	468	263
jgi.p|YarlipO1F2|112138	457	172	541	424	373	241	203	101	190	333	812	441
jgi.p|YarlipO1F2|112152	1181	195	569	542	756	463	254	86	148	405	629	635
jgi.p|YarlipO1F2|112158	525	222	558	454	435	272	326	431	502	257	766	417
jgi.p|YarlipO1F2|112319	0	0	4	0	0	0	0	0	0	0	0	0
jgi.p|YarlipO1F2|112367	619	544	948	581	354	169	749	192	292	286	521	227
jgi.p|YarlipO1F2|112410	97	71	90	88	61	26	95	100	144	56	227	184
jgi.p|YarlipO1F2|112419	383	118	373	386	483	221	545	645	738	324	870	481
jgi.p|YarlipO1F2|112702	1902	841	2200	1716	1580	1088	1559	1742	2238	891	1850	1061
jgi.p|YarlipO1F2|112737	11	7	5	9	8	4	3	11	9	6	15	21
jgi.p|YarlipO1F2|112738	31	19	28	16	30	21	4	8	13	15	48	36
jgi.p|YarlipO1F2|112849	222	32	106	1497	339	621	1628	754	1384	479	576	335
jgi.p|YarlipO1F2|112947	233	136	291	221	261	103	436	1924	1392	163	416	301
jgi.p|YarlipO1F2|112954	5	1	4	4	4	4	9	5	6	3	17	2
jgi.p|YarlipO1F2|112960	638	192	495	1057	549	377	1264	1327	1735	529	932	622
jgi.p|YarlipO1F2|113007	1643	480	1514	2310	1623	1156	2728	16614	13242	1612	4161	2443
jgi.p|YarlipO1F2|113203	910	201	723	1478	1108	696	1328	1742	2464	1046	2512	1490
jgi.p|YarlipO1F2|113234	274	97	291	412	227	174	353	596	618	201	546	344
jgi.p|YarlipO1F2|113283	2126	605	1749	1882	1615	1167	763	2350	1841	1167	2058	1155
jgi.p|YarlipO1F2|113317	1400	143	842	2599	1705	1351	2642	2084	2968	1483	2902	1687
jgi.p|YarlipO1F2|113347	766	539	965	115	377	103	382	129	196	48	106	62
jgi.p|YarlipO1F2|113353	711	416	904	145	457	150	358	116	176	61	136	89
jgi.p|YarlipO1F2|113367	672	134	671	1695	639	633	374	250	341	1175	2749	1856
jgi.p|YarlipO1F2|113411	1026	871	1682	574	734	368	301	393	443	511	2175	1222
jgi.p|YarlipO1F2|113514	6	5	14	4	7	3	3	3	3	1	9	5
