"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","GeneID"
"1",226,1,"3.4.22.-, 3.4.22.-","Cysteine endopeptidases.","\N","2635","cysteine-type endopeptidase activity","GO:0004197","KOG4130","Prenyl protein protease","Posttranslational modification, protein turnover, chaperones","IPR003675","CAAX amino terminal protease",5617,"RDEBS00696","RDEBS00696","CAAX prenyl protease 2 (EC 3.4.22.-)","jgi.p|Debsub1|226"
"2",227,2,NA,NA,NA,"5830","metabolic process","GO:0008152","KOG0453","Aconitase/homoaconitase (aconitase superfamily)","Energy production and conversion , Amino acid transport and metabolism","IPR001030, IPR001030","Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha",5619,"RDEBS00684","RDEBS00684",NA,"jgi.p|Debsub1|227"
"3",282,3,"2.7.1.12","Gluconokinase.","Pentose phosphate pathway","3126, 3736, 4143, 9573, 20755","shikimate kinase activity, ATP binding, carbohydrate metabolic process, kinase activity, gluconokinase activity","GO:0004765, GO:0005524, GO:0005975, GO:0016301, GO:0046316","KOG3354","Gluconate kinase","Carbohydrate transport and metabolism","IPR000623, IPR027417, IPR006001","Shikimate kinase/Threonine synthase-like 1, P-loop containing nucleoside triphosphate hydrolase, Carbohydrate kinase, thermoresistant glucokinase",5637,"RDEBS01455","RDEBS01455","Gluconokinase (EC 2.7.1.12)","jgi.p|Debsub1|282"
"4",285,4,NA,NA,NA,"5830, 9710","metabolic process, oxidoreductase activity","GO:0008152, GO:0016491","KOG1208","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)","Secondary metabolites biosynthesis, transport and catabolism","IPR002198, \N","Short-chain dehydrogenase/reductase SDR, \N",5574,"RDEBS01492","RDEBS01492","Oxidoreductase (EC 1.1.1.-)","jgi.p|Debsub1|285"
"5",548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5570,"RDEBS01514","RDEBS01514",NA,"jgi.p|Debsub1|548"
"6",560,5,NA,NA,NA,"2196, 3838, 4504, 5939, 2176, 4499","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, zinc ion binding, DNA binding, transcription","GO:0003700, GO:0005634, GO:0006355, GO:0008270, GO:0003677, GO:0006350",NA,NA,NA,"IPR001138, IPR007219, IPR001138, IPR001138, IPR001138, IPR001138","Zn(2)-C6 fungal-type DNA-binding domain, Transcription factor domain, fungi, Zn(2)-C6 fungal-type DNA-binding domain, Zn(2)-C6 fungal-type DNA-binding domain, Zn(2)-C6 fungal-type DNA-binding domain, Zn(2)-C6 fungal-type DNA-binding domain",5436,"RDEBS02096","RDEBS02096","Transcriptional regulator","jgi.p|Debsub1|560"
"7",563,6,"3.2.1.22","Alpha-galactosidase.","Galactose metabolism","2933, 4143, 2936","hydrolase activity, hydrolyzing O-glycosyl compounds, carbohydrate metabolic process, alpha-galactosidase activity","GO:0004553, GO:0005975, GO:0004557","KOG2366","Alpha-D-galactosidase (melibiase)","Carbohydrate transport and metabolism","IPR000111, \N, IPR017853","Glycoside hydrolase, clan GH-D, \N, Glycoside hydrolase superfamily",5411,"RDEBS02250","RDEBS02250","Alpha-galactosidase (EC 3.2.1.22)","jgi.p|Debsub1|563"
"8",565,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR007074","LicD",5382,"RDEBS02338","RDEBS02338","Hypothetical protein","jgi.p|Debsub1|565"
"9",570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5351,"RDEBS02665","RDEBS02665",NA,"jgi.p|Debsub1|570"
"10",571,8,NA,NA,NA,"3737, 2378, 24058","GTP binding, GTPase activity, hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement","GO:0005525, GO:0003924, GO:0050800","KOG0467","Translation elongation factor 2/ribosome biogenesis protein RIA1 and related proteins","Translation, ribosomal structure and biogenesis","IPR000795, IPR000640, IPR004161, IPR009022, IPR000640, IPR009000, IPR027417, IPR020568, IPR009022, IPR005225","Elongation factor, GTP-binding domain, Translation elongation factor EFG, V domain, Translation elongation factor EFTu/EF1A, domain 2, Elongation factor G, III-V domain, Translation elongation factor EFG, V domain, Translation protein, beta-barrel domain, P-loop containing nucleoside triphosphate hydrolase, Ribosomal protein S5 domain 2-type fold, Elongation factor G, III-V domain, Small GTP-binding protein domain",5287,"RDEBS02714","RDEBS02714","Protein Translation Elongation factor 2 (EF-2)","jgi.p|Debsub1|571"
