"Feature","Record Id","Function","Aliases","Cont R1","Cont R2","Cont R3","Low FE R1","Low FE R2","Low FE R3","Low N R1","Low N R2","Low N R3","Salt R1","Salt R2","Salt R3"
"RDEBH00018","jgi.p|Debha1|1","","., jgi.p|Debha1|1, mRNA_1, prediction","1479","1639","1640","1506","1771","901","981","2238","402","296","163","175"
"RDEBH00303","jgi.p|Debha1|10","","., jgi.p|Debha1|10, mRNA_10, prediction","87","149","88","82","101","51","51","66","49","2194","594","613"
"RDEBH02816","jgi.p|Debha1|100","","., jgi.p|Debha1|100, mRNA_100, prediction","1696","1731","1490","1710","1852","790","691","1278","607","6182","1416","2570"
"RDEBH10097","jgi.p|Debha1|1000","Hypothetical membrane spanning protein","., jgi.p|Debha1|1000, mRNA_1000, prediction","59","101","48","94","107","59","31","63","47","273","98","106"
"RDEBH10118","jgi.p|Debha1|1001","","., jgi.p|Debha1|1001, mRNA_1001, prediction","353","788","310","608","617","282","196","422","261","903","224","416"
"RDEBH10154","jgi.p|Debha1|1002","","., jgi.p|Debha1|1002, mRNA_1002, prediction","6","11","10","6","9","3","5","5","2","8","3","3"
"RDEBH10162","jgi.p|Debha1|1003","Peroxisomal long-chain fatty acid import protein 1","., jgi.p|Debha1|1003, mRNA_1003, prediction","241","626","224","394","490","203","137","219","250","2420","444","1176"
"RDEBH10194","jgi.p|Debha1|1004","","., jgi.p|Debha1|1004, mRNA_1004, prediction","1041","1305","1299","960","1121","514","659","1519","326","1751","960","959"
"RDEBH10206","jgi.p|Debha1|1005","Dual-specificity tyrosine-phosphorylation regulated kinase 3 (EC 2.7.1.-)","., jgi.p|Debha1|1005, mRNA_1005, prediction","73","55","64","41","58","14","39","42","14","144","58","67"
"RDEBH10242","jgi.p|Debha1|1006","Hypothetical protein","., jgi.p|Debha1|1006, mRNA_1006, prediction","152","180","142","204","152","73","89","176","58","646","152","237"
"RDEBH10266","jgi.p|Debha1|1007","RING-FINGER DOMAIN UBIQUITIN-PROTEIN LIGASE E3 (EC 6.3.2.-)","., jgi.p|Debha1|1007, mRNA_1007, prediction","190","229","180","170","141","70","104","168","72","345","129","161"
"RDEBH10299","jgi.p|Debha1|1008","ER vesicle protein ERV41","., jgi.p|Debha1|1008, mRNA_1008, prediction","348","587","431","578","598","284","283","358","289","993","335","442"
"RDEBH10315","jgi.p|Debha1|1009","","., jgi.p|Debha1|1009, mRNA_1009, prediction","58","97","71","87","95","44","39","67","34","435","125","160"
"RDEBH02836","jgi.p|Debha1|101","Hypophosphite dioxygenase (EC 1.14.11.-)","., jgi.p|Debha1|101, mRNA_101, prediction","967","1652","1049","1567","1571","761","585","1204","493","4113","1441","2303"
"RDEBH10343","jgi.p|Debha1|1010","tRNA-splicing endonuclease positive effector","., jgi.p|Debha1|1010, mRNA_1010, prediction","152","196","161","139","192","77","91","165","70","713","226","325"
"RDEBH10409","jgi.p|Debha1|1011","","., jgi.p|Debha1|1011, mRNA_1011, prediction","20","27","20","17","15","5","6","10","10","174","31","74"
"RDEBH10454","jgi.p|Debha1|1012","Calcineurin B regulatory subunit","., jgi.p|Debha1|1012, mRNA_1012, prediction","949","1900","894","1429","1547","558","684","885","771","822","376","443"
"RDEBH10467","jgi.p|Debha1|1013","Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)","., jgi.p|Debha1|1013, mRNA_1013, prediction","804","1759","734","1180","1418","726","544","1102","582","1550","564","743"
"RDEBH10483","jgi.p|Debha1|1014","RHO1 GDP-GTP exchange protein 1","., jgi.p|Debha1|1014, mRNA_1014, prediction","213","240","232","140","183","81","80","174","69","605","237","204"
"RDEBH10552","jgi.p|Debha1|1015","Hypothetical SHNi-TPR family protein","., jgi.p|Debha1|1015, mRNA_1015, prediction","152","187","172","178","139","84","81","138","83","1042","255","479"
"RDEBH10560","jgi.p|Debha1|1016","Hypothetical protein","., jgi.p|Debha1|1016, mRNA_1016, prediction","150","174","175","114","129","49","111","85","62","88","45","27"
"RDEBH10572","jgi.p|Debha1|1017","","., jgi.p|Debha1|1017, mRNA_1017, prediction","7","1","7","2","1","0","2","7","2","1","1","1"
"RDEBH10576","jgi.p|Debha1|1018","","., jgi.p|Debha1|1018, mRNA_1018, prediction","3","5","4","10","13","4","10","4","2","7","4","2"
"RDEBH10639","jgi.p|Debha1|1019","Cytochrome b5","0, gene_1019, jgi.p|Debha1|1019, prediction","1297","1464","1301","1196","1314","549","663","1465","411","784","318","450"
"RDEBH02860","jgi.p|Debha1|102","Pyrimidine precursor biosynthesis enzyme thi3","., jgi.p|Debha1|102, mRNA_102, prediction","140","237","164","290","291","138","78","187","89","1481","383","573"
"RDEBH10652","jgi.p|Debha1|1020","","., jgi.p|Debha1|1020, mRNA_1020, prediction","310","723","320","645","626","313","193","397","324","1667","379","664"
"RDEBH10668","jgi.p|Debha1|1021","Mitochondrial phosphate carrier protein","., jgi.p|Debha1|1021, mRNA_1021, prediction","2935","5174","3181","4422","4506","2088","1760","3828","1620","61885","19934","30930"
"RDEBH10685","jgi.p|Debha1|1022","Hypothetical protein","., jgi.p|Debha1|1022, mRNA_1022, prediction","9160","8237","9492","5551","7254","3250","5898","12861","1801","5640","3156","2363"
"RDEBH10697","jgi.p|Debha1|1023","Mitochondrial carrier protein RIM2","., jgi.p|Debha1|1023, mRNA_1023, prediction","214","386","226","332","356","169","137","214","202","1383","251","620"
"RDEBH10713","jgi.p|Debha1|1024","Protein disulfide isomerase (EC 5.3.4.1)","., jgi.p|Debha1|1024, mRNA_1024, prediction","247","269","226","339","331","150","138","220","95","924","240","385"
"RDEBH10762","jgi.p|Debha1|1025","Acetyltransferase (EC 2.3.1.-)","., jgi.p|Debha1|1025, mRNA_1025, prediction","536","714","540","474","596","316","279","678","237","503","175","277"
"RDEBH10774","jgi.p|Debha1|1026","Mannose-6-phosphate isomerase (EC 5.3.1.8)","., jgi.p|Debha1|1026, mRNA_1026, prediction","3492","10189","3653","8589","8785","4290","2063","5291","3910","6684","1524","2912"
"RDEBH10794","jgi.p|Debha1|1027","","., jgi.p|Debha1|1027, mRNA_1027, prediction","1288","1926","1128","1842","1891","882","764","1629","755","3977","1698","2298"
"RDEBH10806","jgi.p|Debha1|1028","Nucleolar protein 16","., jgi.p|Debha1|1028, mRNA_1028, prediction","424","636","414","644","641","309","310","417","274","311","84","152"
"RDEBH10818","jgi.p|Debha1|1029","Iron-sulfur cluster assembly/repair protein ApbC","., jgi.p|Debha1|1029, mRNA_1029, prediction","176","375","185","277","279","126","124","161","147","504","172","243"
"RDEBH02876","jgi.p|Debha1|103","SCO1 protein, mitochondrial precursor","., jgi.p|Debha1|103, mRNA_103, prediction","1083","2103","1078","1471","1700","767","766","1046","894","1500","453","698"
"RDEBH10838","jgi.p|Debha1|1030","Protein transport protein BET1","., jgi.p|Debha1|1030, mRNA_1030, prediction","264","432","253","398","366","190","215","271","161","386","167","233"
"RDEBH10846","jgi.p|Debha1|1031","","., jgi.p|Debha1|1031, mRNA_1031, prediction","134","168","131","188","175","69","77","152","29","450","247","210"
"RDEBH10888","jgi.p|Debha1|1032","","., jgi.p|Debha1|1032, mRNA_1032, prediction","125","316","126","264","269","130","83","180","177","2602","517","1057"
"RDEBH10916","jgi.p|Debha1|1033","Glycolipid 2-alpha-mannosyltransferase (EC 2.4.1.131)","., jgi.p|Debha1|1033, mRNA_1033, prediction","69","174","115","199","180","68","44","94","57","955","225","387"
"RDEBH10949","jgi.p|Debha1|1034","Eukaryotic Peptide Chain Release Factor subunit 3 (ERF-3)","., jgi.p|Debha1|1034, mRNA_1034, prediction","848","1564","1123","1352","1285","690","694","1017","537","2596","672","1161"
"RDEBH10970","jgi.p|Debha1|1035","Inositol 1,4,5-triphosphate 6-kinase (EC 2.7.1.-)","., jgi.p|Debha1|1035, mRNA_1035, prediction","169","215","140","240","222","85","111","183","85","653","195","299"
"RDEBH10987","jgi.p|Debha1|1036","Syntaxin","., jgi.p|Debha1|1036, mRNA_1036, prediction","995","1023","1057","1017","991","517","703","1243","417","2946","1108","1304"
"RDEBH11003","jgi.p|Debha1|1037","Hypothetical protein","., jgi.p|Debha1|1037, mRNA_1037, prediction","48","124","85","58","40","16","30","35","39","80","21","54"
"RDEBH11019","jgi.p|Debha1|1038","Hypothetical protein","., jgi.p|Debha1|1038, mRNA_1038, prediction","41","89","42","78","74","44","18","41","22","326","83","123"
"RDEBH11031","jgi.p|Debha1|1039","Vacuolar protein sorting-associated protein VPS28","., jgi.p|Debha1|1039, mRNA_1039, prediction","81","110","74","107","119","32","41","76","45","405","113","149"
"RDEBH02891","jgi.p|Debha1|104","Protein-lysine methyltransferase family protein","0, gene_104, jgi.p|Debha1|104, prediction","132","147","124","145","125","44","72","130","41","333","59","124"
"RDEBH11051","jgi.p|Debha1|1040","19S/PA700 proteasome regulatory particle subunit Rpn12p/S14","., jgi.p|Debha1|1040, mRNA_1040, prediction","1189","1790","1157","1373","1364","609","701","786","660","1961","597","734"
"RDEBH11071","jgi.p|Debha1|1041","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)","., jgi.p|Debha1|1041, mRNA_1041, prediction","4879","13205","5287","12044","12233","6017","3116","6525","5692","11636","2419","5028"
"RDEBH11095","jgi.p|Debha1|1042","Membrane alanine aminopeptidase (EC 3.4.11.2)","., jgi.p|Debha1|1042, mRNA_1042, prediction","129","124","113","81","98","54","49","82","34","308","104","134"
"RDEBH11155","jgi.p|Debha1|1043","","., jgi.p|Debha1|1043, mRNA_1043, prediction","382","558","493","407","362","216","207","315","249","963","197","447"
