"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","Aliases","X1","X2","X3","X2.1","X3.1"
"1",380,1,"1.1.1.1","Alcohol dehydrogenase.","Bile acid biosynthesis, Tyrosine metabolism, Glycerolipid metabolism, Glycolysis / Gluconeogenesis, Fatty acid metabolism",NA,NA,NA,"KOG0023","Alcohol dehydrogenase, class V","Secondary metabolites biosynthesis, transport and catabolism","IPR013149, IPR013154, IPR002328, IPR020843, IPR011032, \N","Alcohol dehydrogenase, C-terminal, Alcohol dehydrogenase GroES-like, Alcohol dehydrogenase, zinc-type, conserved site, Polyketide synthase, enoylreductase domain, GroES (chaperonin 10)-like, \N",46,"RYLPO00284","jgi.p|YarlipO1F2|380","Alcohol dehydrogenase (EC 1.1.1.1)","., jgi.p|YarlipO1F2|380, mRNA_6, prediction","., jgi.p","YarlipO1F2","380, mRNA_6, prediction","mRNA_6","prediction"
"2",398,2,NA,NA,NA,NA,NA,NA,"KOG3544","Collagens (type IV and type XIII), and related proteins","Extracellular structures",NA,NA,61,"RYLPO00382","jgi.p|YarlipO1F2|398",NA,"., jgi.p|YarlipO1F2|398, mRNA_8, prediction","., jgi.p","YarlipO1F2","398, mRNA_8, prediction","mRNA_8","prediction"
"3",603,3,"1.2.1.3","Aldehyde dehydrogenase (NAD+).","1,2-Dichloroethane degradation, Tryptophan metabolism, Glycerolipid metabolism, Valine, leucine and isoleucine degradation, Glycolysis / Gluconeogenesis, Propanoate metabolism, Fatty acid metabolism, Bile acid biosynthesis, Arginine and proline metabolism, Butanoate metabolism, beta-Alanine metabolism, Pyruvate metabolism, Histidine metabolism, Lysine degradation, Ascorbate and aldarate metabolism",NA,NA,NA,"KOG2450","Aldehyde dehydrogenase","Energy production and conversion","IPR015590, IPR016160, IPR029510, IPR016161","Aldehyde dehydrogenase domain, Aldehyde dehydrogenase, cysteine active site, Aldehyde dehydrogenase, glutamic acid active site, Aldehyde/histidinol dehydrogenase",140,"RYLPO00877","jgi.p|YarlipO1F2|603",NA,"., jgi.p|YarlipO1F2|603, mRNA_23, prediction","., jgi.p","YarlipO1F2","603, mRNA_23, prediction","mRNA_23","prediction"
"4",802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,"RYLPO00987","jgi.p|YarlipO1F2|802",NA,"., jgi.p|YarlipO1F2|802, mRNA_28, prediction","., jgi.p","YarlipO1F2","802, mRNA_28, prediction","mRNA_28","prediction"
"5",804,4,"6.1.1.12","Aspartate--tRNA ligase.","Alanine and aspartate metabolism,   Aminoacyl-tRNA biosynthesis",NA,NA,NA,NA,NA,NA,"IPR024320","Lysylphosphatidylglycerol synthetase, domain of unknown function DUF2156",151,"RYLPO00943","jgi.p|YarlipO1F2|804","Hypothetical protein","., jgi.p|YarlipO1F2|804, mRNA_27, prediction","., jgi.p","YarlipO1F2","804, mRNA_27, prediction","mRNA_27","prediction"
"6",887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,"RYLPO01183","jgi.p|YarlipO1F2|887",NA,"., jgi.p|YarlipO1F2|887, mRNA_32, prediction","., jgi.p","YarlipO1F2","887, mRNA_32, prediction","mRNA_32","prediction"
"7",1166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,"RYLPO01483","jgi.p|YarlipO1F2|1166",NA,"., jgi.p|YarlipO1F2|1166, mRNA_41, prediction","., jgi.p","YarlipO1F2","1166, mRNA_41, prediction","mRNA_41","prediction"
"8",1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268,"RYLPO01667","jgi.p|YarlipO1F2|1256",NA,"., jgi.p|YarlipO1F2|1256, mRNA_49, prediction","., jgi.p","YarlipO1F2","1256, mRNA_49, prediction","mRNA_49","prediction"
"9",1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,"RYLPO01987","jgi.p|YarlipO1F2|1372",NA,"., jgi.p|YarlipO1F2|1372, mRNA_59, prediction","., jgi.p","YarlipO1F2","1372, mRNA_59, prediction","mRNA_59","prediction"
"10",1483,5,NA,NA,NA,NA,NA,NA,"KOG4748","Subunit of Golgi mannosyltransferase complex","Carbohydrate transport and metabolism , Cell wall/membrane/envelope biogenesis","IPR008630, IPR029044","Galactosyl transferase, Nucleotide-diphospho-sugar transferases",329,"RYLPO02039","jgi.p|YarlipO1F2|1483",NA,"., jgi.p|YarlipO1F2|1483, mRNA_60, prediction","., jgi.p","YarlipO1F2","1483, mRNA_60, prediction","mRNA_60","prediction"
"11",1713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,"RYLPO02503","jgi.p|YarlipO1F2|1713",NA,"., jgi.p|YarlipO1F2|1713, mRNA_75, prediction","., jgi.p","YarlipO1F2","1713, mRNA_75, prediction","mRNA_75","prediction"
"12",1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,"RYLPO02637","jgi.p|YarlipO1F2|1726",NA,"., jgi.p|YarlipO1F2|1726, mRNA_79, prediction","., jgi.p","YarlipO1F2","1726, mRNA_79, prediction","mRNA_79","prediction"
"13",1828,6,"1.14.11.12","Gibberellin-44 dioxygenase.","\N",NA,NA,NA,"KOG0143","Iron/ascorbate family oxidoreductases","Secondary metabolites biosynthesis, transport and catabolism , General function prediction only","IPR005123, IPR026992, IPR005123, \N","Oxoglutarate/iron-dependent dioxygenase, Non-haem dioxygenase N-terminal domain, Oxoglutarate/iron-dependent dioxygenase, \N",458,"RYLPO02815","jgi.p|YarlipO1F2|1828",NA,"., jgi.p|YarlipO1F2|1828, mRNA_85, prediction","., jgi.p","YarlipO1F2","1828, mRNA_85, prediction","mRNA_85","prediction"
